,region,district,year,month,mean_mon_rainfall_mm
1197,Central,Asikuma / Odoben / Brakwa,1981,3,159.4341
1198,Central,Cape Coast,1981,3,126.01933
1199,Central,Komenda / Edina / Eguafo / Abirem,1981,3,100.79144
1200,Central,Mfantsiman,1981,3,118.66776
1201,Central,Twifo / Heman / Lower Denkyira,1981,3,150.79077
1202,Eastern,Akwapim North,1981,3,158.24858
1203,Eastern,Akwapim South,1981,3,136.95476
1204,Eastern,Asuogyaman,1981,3,156.05086
1205,Eastern,Fanteakwa,1981,3,207.10683
1206,Eastern,Kwaebibirem,1981,3,199.79218
1207,Eastern,New Juaben Municipal,1981,3,163.9698
1208,Eastern,Suhum / Kraboa Coaltar,1981,3,165.03438
1209,Eastern,West Akim,1981,3,157.34755
1210,Eastern,Yilo Krobo,1981,3,173.99657
1211,Greater Accra,Dangbe East,1981,3,91.057304
1212,Greater Accra,Dangbe West,1981,3,125.46663
1213,Upper West,Lawra,1981,3,25.24891
1214,Upper West,Nadowli,1981,3,34.61839
1215,Volta,Keta Municipal,1981,3,73.17088
1216,Volta,North Tongu,1981,3,120.20351
1217,Western,Ahanta West,1981,3,67.12436
1218,Western,Aowin / Suaman,1981,3,130.42534
1219,Western,Sefwi Bibiani-Ahwiaso Bekwai,1981,3,158.6591
1220,Western,Jomoro,1981,3,110.5752
1221,Ashanti,K M A,1981,3,183.12692
1222,Upper East,Bawku West,1981,3,7.9197245
1223,Upper East,Bongo,1981,3,8.276685
1224,Upper East,Builsa,1981,3,11.719476
1225,Northern,West Mamprusi,1981,3,15.002297
1226,Northern,Savelugu Nanton,1981,3,15.450446
1227,Northern,Tolon Kumbugu,1981,3,23.011671
1228,Northern,Yendi,1981,3,43.092354
1229,Northern,Tamale,1981,3,26.381481
1230,Upper West,Wa West,1981,3,62.899975
1231,Upper West,Wa Municipal,1981,3,59.234013
1232,Upper West,Wa East,1981,3,43.64884
1233,Upper East,Bawku Municipal,1981,3,7.0968933
1234,Northern,East Mamprusi,1981,3,10.078643
1235,Northern,Central Gonja,1981,3,57.736465
1236,Northern,West Gonja,1981,3,56.315304
1237,Northern,Bole,1981,3,120.24657
1238,Northern,Sawla / Tuna / Kalba,1981,3,95.17538
1239,Northern,Nanumba North,1981,3,77.87248
1240,Brong Ahafo,Kintampo,1981,3,101.14558
1241,Brong Ahafo,Kintampo South,1981,3,162.31555
1242,Brong Ahafo,Wenchi,1981,3,198.273
1243,Brong Ahafo,Tain,1981,3,189.01624
1244,Brong Ahafo,Jaman South,1981,3,216.71129
1245,Brong Ahafo,Jaman North,1981,3,206.73032
1246,Brong Ahafo,Asunafo North,1981,3,202.06125
1247,Brong Ahafo,Asunafo South,1981,3,179.04034
1248,Brong Ahafo,Tano North,1981,3,217.83055
1249,Brong Ahafo,Tano South,1981,3,250.00436
1250,Ashanti,Atwima Mponua,1981,3,193.92279
1251,Ashanti,Atwima Nwabiagya,1981,3,199.29787
1252,Ashanti,Amansie Central,1981,3,170.53648
1253,Ashanti,Obuasi Municipal,1981,3,164.36261
1254,Ashanti,Adansi North,1981,3,169.12947
1255,Western,Bia,1981,3,184.02493
1256,Western,Juabeso,1981,3,154.13457
1257,Western,Wassa Amenfi East,1981,3,159.64558
1258,Western,Wassa Amenfi West,1981,3,147.0682
1259,Central,Assin North,1981,3,172.63791
1260,Central,Assin South,1981,3,163.93826
1261,Volta,Krachi East,1981,3,123.20981
1262,Volta,Krachi West,1981,3,102.54199
1263,Greater Accra,Ga East,1981,3,99.24476
1264,Volta,South Dayi,1981,3,158.26385
1265,Volta,Norh Dayi (Kpando),1981,3,132.57143
1266,Northern,Karaga,1981,3,16.891678
1267,Northern,Gushiegu,1981,3,17.041685
1268,Brong Ahafo,Pru,1981,3,110.11262
1269,Brong Ahafo,Atebubu Amantin,1981,3,134.56049
1270,Eastern,Kwahu West,1981,3,188.85861
1271,Eastern,Atiwa,1981,3,212.80469
1272,Eastern,East Akim,1981,3,207.98172
1273,Upper West,Sissala West,1981,3,19.81492
1274,Upper West,Sissala East,1981,3,16.25398
1275,Upper East,Bolgatanga,1981,3,9.143929
1276,Upper East,Talensi Nabdam,1981,3,8.418658
1277,Volta,South Tongu,1981,3,84.7078
1278,Upper East,Kasena Nankana East,1981,3,9.85247
1279,Upper East,Kasena Nankana West,1981,3,9.565147
1280,Upper West,Jirapa,1981,3,29.829756
1281,Upper West,Lambussie Karni,1981,3,20.22351
1282,Northern,Kpandai,1981,3,100.02351
1283,Northern,East Gonja,1981,3,70.72038
1284,Brong Ahafo,Dormaa East,1981,3,212.34375
1285,Brong Ahafo,Dormaa Municipal,1981,3,212.25775
1286,Brong Ahafo,Nkoranza South,1981,3,194.03676
1287,Brong Ahafo,Nkoranza North,1981,3,183.01227
1288,Brong Ahafo,Sunyani Municipal,1981,3,220.6753
1289,Brong Ahafo,Sunyani West,1981,3,222.68175
1290,Central,Upper Denkyira West,1981,3,172.03427
1291,Central,Upper Denkyira East,1981,3,172.26167
1292,Central,Awutu Senya,1981,3,116.47666
1293,Central,Effutu,1981,3,84.72321
1294,Western,Prestea / Huni Valley,1981,3,158.92322
1295,Western,Tarkwa Nsuaem,1981,3,109.36187
1296,Western,Sefwi Wiawso,1981,3,160.65105
1297,Western,Sefwi Akontombra,1981,3,137.30118
1298,Greater Accra,Ga West,1981,3,101.81361
1299,Greater Accra,Weija (Ga South),1981,3,110.27824
1300,Greater Accra,Adenta,1981,3,94.064354
1301,Greater Accra,Tema,1981,3,95.71823
1302,Greater Accra,Ashaiman,1981,3,112.39886
1303,Greater Accra,Ledzokuku / Krowor,1981,3,70.61388
1304,Greater Accra,A M A,1981,3,77.09511
1305,Volta,Biakoye,1981,3,145.73338
1306,Eastern,Birim South,1981,3,170.58362
1307,Eastern,Birim Central Municipal,1981,3,159.9007
1308,Eastern,Kwahu East,1981,3,190.89827
1309,Eastern,Kwahu South,1981,3,197.98666
1310,Ashanti,Adansi South,1981,3,176.95764
1311,Ashanti,Bosome Freho,1981,3,186.2426
1312,Ashanti,Sekyere South,1981,3,180.77773
1313,Ashanti,Sekyere Central,1981,3,158.45233
1314,Ashanti,Mampong Municipal,1981,3,164.52629
1315,Ashanti,Offinso North,1981,3,240.82393
1316,Ashanti,Offinso Municipal,1981,3,217.91058
1317,Ashanti,Ejisu Juaben,1981,3,186.34897
1318,Ashanti,Sekyere East,1981,3,183.15045
1319,Central,Agona East,1981,3,135.01637
1320,Central,Agona West,1981,3,134.40178
1321,Eastern,Lower Manya Krobo,1981,3,163.55545
1322,Eastern,Upper Manya Krobo,1981,3,177.25156
1323,Western,Shama,1981,3,93.32326
1324,Western,Sekondi-Takoradi,1981,3,83.10644
1325,Western,Mpohor-Wassa East,1981,3,119.7244
1326,Western,Nzema East,1981,3,116.84845
1327,Western,Ellembelle,1981,3,126.73575
1328,Ashanti,Bekwai Municipal,1981,3,188.77739
1329,Ashanti,Kwabre East,1981,3,189.70512
1330,Ashanti,Afigya Kwabre,1981,3,197.30579
1331,Ashanti,Atwima Kwanwoma,1981,3,183.97429
1332,Ashanti,Bosumtwi,1981,3,190.90431
1333,Eastern,Birim North,1981,3,195.57732
1334,Eastern,Akyemansa,1981,3,187.53578
1335,Brong Ahafo,Sene,1981,3,119.17005
1336,Ashanti,Sekyere Afram Plains,1981,3,158.31998
1337,Eastern,Kwahu North,1981,3,153.7441
1338,Central,Gomoa West,1981,3,121.07818
1339,Central,Gomoa East,1981,3,97.49582
1340,Volta,Akatsi,1981,3,104.12047
1341,Volta,Hohoe,1981,3,159.13574
1342,Volta,Kadjebi,1981,3,141.40144
1343,Northern,Zabzugu-Tatale,1981,3,62.436466
1344,Upper East,Garu Tempane,1981,3,8.924233
1345,Northern,Bunkpurugu Yonyo,1981,3,12.351814
1346,Northern,Nanumba South,1981,3,90.978966
1347,Volta,Ho,1981,3,151.2798
1348,Volta,Adaklu Anyigbe,1981,3,135.32683
1349,Northern,Chereponi,1981,3,18.849901
1350,Northern,Saboba,1981,3,28.84932
1351,Volta,Jasikan,1981,3,156.23329
1352,Volta,Ketu North,1981,3,92.62071
1353,Volta,Ketu South,1981,3,65.703026
1354,Volta,Nkwanta North,1981,3,99.625145
1355,Volta,Nkwanta South,1981,3,128.17105
1638,Ashanti,Ahafo Ano North,1981,4,70.77904
1639,Ashanti,Ahafo Ano South,1981,4,70.81661
1640,Ashanti,Amansie West,1981,4,72.84583
1641,Ashanti,Asante Akim North,1981,4,110.91955
1642,Ashanti,Asante Akim South,1981,4,100.9153
1643,Ashanti,Ejura Sekye Dumasi,1981,4,117.98096
1644,Brong Ahafo,Asutifi,1981,4,75.227776
1645,Brong Ahafo,Berekum,1981,4,84.28744
1646,Brong Ahafo,Techiman,1981,4,88.14236
1647,Central,Ajumanku / Enyan / Essiam,1981,4,92.78797
1648,Central,Abura / Asebu / Kwamankese,1981,4,93.90878
